Story_ID,Story_Text,Question,Answer,Context,Category,Age group
1,في قرية صغيرة بين الجبال، عاشت فتاة تدعى ليلى. كانت ليلى تحب الطبيعة وتقضي معظم وقتها في الغابة القريبة. في أحد الأيام، بينما كانت تستكشف الغابة، وجدت عشًا صغيرًا يحتوي على بيضتين ذهبيتين. قررت ليلى أن تأخذ البيضتين إلى المنزل، ولكنها سمعت صوتًا يقول: 'من فضلك، لا تأخذ بيضي!'. نظرت ليلى حولها ورأت طائرًا ذهبيًا كبيرًا يقف على فرع شجرة. قال الطائر: 'إذا تركت بيضي، سأمنحك أمنية واحدة.' فكرت ليلى للحظة ثم قالت: 'أتمنى أن تصبح قريتي مكانًا أفضل للعيش.' ابتسم الطائر الذهبي ورفرف بجناحيه، وفي لحظة، تحولت القرية إلى مكان جميل مليء بالأشجار والزهور. ومنذ ذلك اليوم، أصبحت ليلى بطلة القرية.,من هي البطلة في القصة؟,ليلى,في قرية صغيرة بين الجبال، عاشت فتاة تدعى ليلى.,Characters,Age 5–8
1,في قرية صغيرة بين الجبال، عاشت فتاة تدعى ليلى. كانت ليلى تحب الطبيعة وتقضي معظم وقتها في الغابة القريبة. في أحد الأيام، بينما كانت تستكشف الغابة، وجدت عشًا صغيرًا يحتوي على بيضتين ذهبيتين. قررت ليلى أن تأخذ البيضتين إلى المنزل، ولكنها سمعت صوتًا يقول: 'من فضلك، لا تأخذ بيضي!'. نظرت ليلى حولها ورأت طائرًا ذهبيًا كبيرًا يقف على فرع شجرة. قال الطائر: 'إذا تركت بيضي، سأمنحك أمنية واحدة.' فكرت ليلى للحظة ثم قالت: 'أتمنى أن تصبح قريتي مكانًا أفضل للعيش.' ابتسم الطائر الذهبي ورفرف بجناحيه، وفي لحظة، تحولت القرية إلى مكان جميل مليء بالأشجار والزهور. ومنذ ذلك اليوم، أصبحت ليلى بطلة القرية.,ماذا وجدت ليلى في الغابة؟,وجدت عشًا صغيرًا يحتوي على بيضتين ذهبيتين,في أحد الأيام، بينما كانت تستكشف الغابة، وجدت عشًا صغيرًا يحتوي على بيضتين ذهبيتين.,Plot,Age 5–8
1,في قرية صغيرة بين الجبال، عاشت فتاة تدعى ليلى. كانت ليلى تحب الطبيعة وتقضي معظم وقتها في الغابة القريبة. في أحد الأيام، بينما كانت تستكشف الغابة، وجدت عشًا صغيرًا يحتوي على بيضتين ذهبيتين. قررت ليلى أن تأخذ البيضتين إلى المنزل، ولكنها سمعت صوتًا يقول: 'من فضلك، لا تأخذ بيضي!'. نظرت ليلى حولها ورأت طائرًا ذهبيًا كبيرًا يقف على فرع شجرة. قال الطائر: 'إذا تركت بيضي، سأمنحك أمنية واحدة.' فكرت ليلى للحظة ثم قالت: 'أتمنى أن تصبح قريتي مكانًا أفضل للعيش.' ابتسم الطائر الذهبي ورفرف بجناحيه، وفي لحظة، تحولت القرية إلى مكان جميل مليء بالأشجار والزهور. ومنذ ذلك اليوم، أصبحت ليلى بطلة القرية.,ما هي الأمنية التي طلبتها ليلى؟,تمنت أن تصبح قريتها مكانًا أفضل للعيش,فكرت ليلى للحظة ثم قالت: 'أتمنى أن تصبح قريتي مكانًا أفضل للعيش.',Themes,Age 5–8
1,في قرية صغيرة بين الجبال، عاشت فتاة تدعى ليلى. كانت ليلى تحب الطبيعة وتقضي معظم وقتها في الغابة القريبة. في أحد الأيام، بينما كانت تستكشف الغابة، وجدت عشًا صغيرًا يحتوي على بيضتين ذهبيتين. قررت ليلى أن تأخذ البيضتين إلى المنزل، ولكنها سمعت صوتًا يقول: 'من فضلك، لا تأخذ بيضي!'. نظرت ليلى حولها ورأت طائرًا ذهبيًا كبيرًا يقف على فرع شجرة. قال الطائر: 'إذا تركت بيضي، سأمنحك أمنية واحدة.' فكرت ليلى للحظة ثم قالت: 'أتمنى أن تصبح قريتي مكانًا أفضل للعيش.' ابتسم الطائر الذهبي ورفرف بجناحيه، وفي لحظة، تحولت القرية إلى مكان جميل مليء بالأشجار والزهور. ومنذ ذلك اليوم، أصبحت ليلى بطلة القرية.,لماذا قررت ليلى عدم أخذ البيضتين؟,لأن الطائر الذهبي طلب منها ذلك ووعدها بمنحها أمنية,سمعت صوتًا يقول: 'من فضلك، لا تأخذ بيضي!'... قال الطائر: 'إذا تركت بيضي، سأمنحك أمنية واحدة.',Reasoning,Age 5–8
1,في قرية صغيرة بين الجبال، عاشت فتاة تدعى ليلى. كانت ليلى تحب الطبيعة وتقضي معظم وقتها في الغابة القريبة. في أحد الأيام، بينما كانت تستكشف الغابة، وجدت عشًا صغيرًا يحتوي على بيضتين ذهبيتين. قررت ليلى أن تأخذ البيضتين إلى المنزل، ولكنها سمعت صوتًا يقول: 'من فضلك، لا تأخذ بيضي!'. نظرت ليلى حولها ورأت طائرًا ذهبيًا كبيرًا يقف على فرع شجرة. قال الطائر: 'إذا تركت بيضي، سأمنحك أمنية واحدة.' فكرت ليلى للحظة ثم قالت: 'أتمنى أن تصبح قريتي مكانًا أفضل للعيش.' ابتسم الطائر الذهبي ورفرف بجناحيه، وفي لحظة، تحولت القرية إلى مكان جميل مليء بالأشجار والزهور. ومنذ ذلك اليوم، أصبحت ليلى بطلة القرية.,كيف تغيرت القرية بعد أمنية ليلى؟,تحولت القرية إلى مكان جميل مليء بالأشجار والزهور,وفي لحظة، تحولت القرية إلى مكان جميل مليء بالأشجار والزهور.,Plot,Age 5–8
3,في قرية صغيرة، كان هناك خياط شجاع يدعى علي. كان علي يعمل بجد ليل نهار ليكسب رزقه. في أحد الأيام، بينما كان يعمل، سمع عن تنين مخيف يهدد القرية. قرر علي أن يواجه التنين لينقذ قريته. أخذ معه إبرته وخيطه القوي وذهب إلى الغابة حيث يعيش التنين. عندما وصل، وجد التنين نائمًا. استغل علي الفرصة وخيط فم التنين بإحكام. استيقظ التنين محاولًا الصراخ، لكنه لم يستطع. فرّ التنين خائفًا ولم يعد يهدد القرية أبدًا. ومنذ ذلك اليوم، أصبح علي بطلاً في القرية.,من هو البطل في القصة؟,علي,في قرية صغيرة، كان هناك خياط شجاع يدعى علي.,Characters,Age 5–8
3,في قرية صغيرة، كان هناك خياط شجاع يدعى علي. كان علي يعمل بجد ليل نهار ليكسب رزقه. في أحد الأيام، بينما كان يعمل، سمع عن تنين مخيف يهدد القرية. قرر علي أن يواجه التنين لينقذ قريته. أخذ معه إبرته وخيطه القوي وذهب إلى الغابة حيث يعيش التنين. عندما وصل، وجد التنين نائمًا. استغل علي الفرصة وخيط فم التنين بإحكام. استيقظ التنين محاولًا الصراخ، لكنه لم يستطع. فرّ التنين خائفًا ولم يعد يهدد القرية أبدًا. ومنذ ذلك اليوم، أصبح علي بطلاً في القرية.,ما الذي فعله علي ليهزم التنين؟,خيط فم التنين بإحكام.,استغل علي الفرصة وخيط فم التنين بإحكام.,Plot,Age 5–8
3,في قرية صغيرة، كان هناك خياط شجاع يدعى علي. كان علي يعمل بجد ليل نهار ليكسب رزقه. في أحد الأيام، بينما كان يعمل، سمع عن تنين مخيف يهدد القرية. قرر علي أن يواجه التنين لينقذ قريته. أخذ معه إبرته وخيطه القوي وذهب إلى الغابة حيث يعيش التنين. عندما وصل، وجد التنين نائمًا. استغل علي الفرصة وخيط فم التنين بإحكام. استيقظ التنين محاولًا الصراخ، لكنه لم يستطع. فرّ التنين خائفًا ولم يعد يهدد القرية أبدًا. ومنذ ذلك اليوم، أصبح علي بطلاً في القرية.,لماذا قرر علي مواجهة التنين؟,لينقذ قريته من التهديد.,سمع عن تنين مخيف يهدد القرية.,Reasoning,Age 5–8
3,في قرية صغيرة، كان هناك خياط شجاع يدعى علي. كان علي يعمل بجد ليل نهار ليكسب رزقه. في أحد الأيام، بينما كان يعمل، سمع عن تنين مخيف يهدد القرية. قرر علي أن يواجه التنين لينقذ قريته. أخذ معه إبرته وخيطه القوي وذهب إلى الغابة حيث يعيش التنين. عندما وصل، وجد التنين نائمًا. استغل علي الفرصة وخيط فم التنين بإحكام. استيقظ التنين محاولًا الصراخ، لكنه لم يستطع. فرّ التنين خائفًا ولم يعد يهدد القرية أبدًا. ومنذ ذلك اليوم، أصبح علي بطلاً في القرية.,كيف أصبح علي بطلاً؟,بعد أن هزم التنين وأنقذ القرية.,فرّ التنين خائفًا ولم يعد يهدد القرية أبدًا.,Themes,Age 5–8
3,في قرية صغيرة، كان هناك خياط شجاع يدعى علي. كان علي يعمل بجد ليل نهار ليكسب رزقه. في أحد الأيام، بينما كان يعمل، سمع عن تنين مخيف يهدد القرية. قرر علي أن يواجه التنين لينقذ قريته. أخذ معه إبرته وخيطه القوي وذهب إلى الغابة حيث يعيش التنين. عندما وصل، وجد التنين نائمًا. استغل علي الفرصة وخيط فم التنين بإحكام. استيقظ التنين محاولًا الصراخ، لكنه لم يستطع. فرّ التنين خائفًا ولم يعد يهدد القرية أبدًا. ومنذ ذلك اليوم، أصبح علي بطلاً في القرية.,ما هي أداة علي التي استخدمها ليهزم التنين؟,إبرته وخيطه القوي.,أخذ معه إبرته وخيطه القوي.,Plot,Age 5–8
