Question,Reply
ما هي قيمة “س” في المعادلة 24 = 2س؟,س = 12
بلغ إجمالي المسافة التي قطعتها السيدة بيرز بسيارتها خلال 5 أيام 40 ميلًا. وكانت تقطع مسافة متساوية من الأميال يوميًا. كم عدد الأميال التي كانت السيدة بيرز تقطعها يوميًا؟,8.0
أوجد حاصل −40 ÷ (−8).,5.0
يمتلك فريق كرة قدم 90 دولارًا لشراء كرات اللعب. إذا كانت تكلفة الكرة الواحدة 15.60 دولارًا، ما هو أكبر عدد من الكرات يمكن للفريق شراؤها؟,5.0
ذهبت أنت وثلاثة من أصدقائك إلى حفل موسيقي. بلغت التكلفة الإجمالية لأربعة تذاكر 112 دولارًا. اكتب معادلة وحلها للتوصل إلى تكلفة التذكرة الواحدة “ت”.,4 ت = 112؛ 28 دولارًا
استخدم التعبير الرياضي الآتي للإجابة عن السؤال. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 ما هي قيمة التعبير الرياضي؟,26.0
اكتب 1 و1 على 11 في شكل عدد صحيح أو كسري في أبسط صورة.,12 على 11
أوجد حاصل 2.16 ÷ 0.06.,36.0
أوجد نتيجة طرح 142.76 - 16.5.,126.26
أوجد حاصل 5.04/0.7,7.2
سيقوم جيمي وكيما برحلة. سيقودان السيارة لمدة ثلاثة أيام. في اليوم الأول سيقطعان مسافة 182 ميلاً. وفي اليوم الثاني سيقطعان مسافة 439 ميلاً. وفي اليوم الثالث سيقطعان مسافة 217 ميلاً. ما هو التعبير الرياضي الذي يمثل أقرب تقدير لعدد الأميال التي سيقطعها جيمي وكيما في رحلتهما؟,200 + 450 + 200
ما هو باقي عملية قسمة 21 على 7؟,لا شيء مما سبق
ستقود مادي دراجتها لمسافة 56 ميلاً خلال 7 أيام. وستقود لمسافة متساوية من الأميال يوميًا. ما هو العدد الإجمالي للأميال التي ستقطعها مادي يوميًا؟,8.0
أوجد الرقم الذي يجعل العبارة 48 على 88 - ؟ على 11 صحيحة.,6.0
ما هي الصفقة الأفضل؟,13 قطعة من الصابون بسعر 29.51 دولارًا
يبلغ معدل نبضات قلب تريش في أثناء الراحة 50 نبضة في الدقيقة. في كل دقيقة تمارس فيها الرياضة، يزداد معدل نبضات قلبها 5 نبضات في الدقيقة. كم من الوقت ستستغرقها لكي يصل معدل نبضات القلب إلى 120 نبضة في الدقيقة؟,14 دقيقة
أوجد الوسيط في مجموعة البيانات 23، 13، 18، 29، 32، 25.,24.0
يقطف جاك 60 تفاحة من شجرة تفاح. يستخدم 12 تفاحة منها في عمل عصير التفاح، ويضع باقي التفاح بالتساوي في 6 سلال للهدايا. ما هي المعادلة التي يمكن استخدامها لتحديد عدد التفاح، “ت”، الذي يضعه جاك في كل سلة هدايا؟,(60—12)/6=ت
إذا كان مقياس رسم خريطة هو بوصة واحدة تساوي 25 ميلاً. كم عدد الأميال التي تمثلها 5 بوصات على هذه الخريطة؟,125.0
بسّط (2 + 5)^2 − 42.,7.0
أوجد قيمة 4 ÷ 2 • 2 + 8 − 4.,8.0
قام مدرب بتقريب عدد العدائين في أحد سباقات الجري إلى أقرب 10. كان العدد المقرب للعدائين هو 400. ما هو العدد الذي يمكن أن يكون هو العدد الفعلي للعدائين في سباق الجري؟,397.0
−4 +  ( −3 )=,−7
يمتلك مارك مجموعة من طوابع البريد. لديه 22 طابعًا من اليابان و34 طابعًا من كندا و17 طابعًا من المكسيك. كم عدد الطوابع التي يمتلكها بالكامل؟,73.0
ضع حلاً للمعادلة س + 2.7 = 8.4 من الأرقام المعطاة.,5.7
أوجد الرقم الذي يجعل هذه العبارة صحيحة: 0.32 ج = _ س ج.,32.0
أوجد حاصل ضرب 5.7(8) ذهنيًا باستخدام خاصية التوزيع.,45.6
"ما هو حاصل التعبير الرياضي 2,314 / 4؟",578 ب2
تهدف روزا إلى الجري مسافة إجمالية قدرها 100 ميل هذا الشهر. وفي كل يوم تجري 5 أميال. ما هو التعبير الرياضي الذي يمكن أن تستخدمه روزا لتحديد عدد الأميال الباقية التي يجب أن تقطعها بعد الجري لمدة “ص” أيام؟,100 — 5ص
حدد التعبير الجبري الذي يتطابق مع العبارة اللفظية: 4 أضعاف عدد العلب التي جمعها توم.,4م
"كتب أندرو العدد 186,425 على السبورة. في أي عدد تكون قيمة الرقم 6 تساوي 10 أضعاف قيمة الرقم 6 في العدد الذي كتبه أندرو؟","462,017"
ما هي نتيجة 123 / 8؟,15 والباقي 3
اكتب 8 و2 على 4 في صورة كسر غير صحيح في أبسط صورة.,17 على 2
"ما هو التعبير الرياضي الذي يمكن استخدامه لكتابة العدد 270,240 في صيغة ممتدة؟","200,000 + 70,000 + 200 + 40"
تستغرق العاملة على خط التجميع 7 ساعات لإنتاج 22 قطعة. بهذا المعدل، كم عدد القطع التي يمكنها إنتاجها خلال 35 ساعة؟,110 قطع
أوجد آبي المتوسط الحسابي والوسيط لهذه القائمة من الأرقام. 1، 3، 3 إذا أضيف الرقم 6 إلى القائمة، فإن,المتوسط الحسابي سيزداد
إذا كانت ن = 11، فما هي قيمة 10 – (ن + 6)؟,–7
ما هو التعبير الرياضي الذي يمثل العبارة التالية؟ 3 أقل من الرقم ب,ب-3
